Name,Tree,Area (km2),Tree/km2
BAYFRONT SUBZONE,486,2.76996,175
BUGIS,478,1.58328,302
PULAU PUNGGOL BARAT,461,1.74248,265
BRADDELL,458,7.83640,58
CECIL,453,4.84871,93
GOODWOOD PARK,453,2.32972,194
THE WHARVES,452,2.11426,214
BUKIT HO SWEE,435,3.33486,130
BOON TECK,432,0.94454,457
VICTORIA,428,1.99061,215
REDHILL,408,3.85575,106
TANJONG PAGAR,407,1.82504,223
NEWTON CIRCUS,404,0.68837,587
TANGLIN HALT,376,3.02152,124
PATERSON,353,1.23728,285
MOUNT EMILY,353,0.68547,515
SAFTI,337,1.64062,205
BOAT QUAY,334,0.95579,349
LORONG HALUS NORTH,330,0.31704,1041
RAFFLES PLACE,328,7.37136,44
TANGLIN,318,1.51177,210
BENCOOLEN,311,1.46313,213
HOLLAND DRIVE,303,7.03476,43
MANDAI ESTATE,280,1.72052,163
COMMONWEALTH,278,1.67231,166
ANSON,250,5.32042,47
KAMPONG GLAM,247,1.35719,182
LITTLE INDIA,245,0.99828,245
CHINA SQUARE,243,1.34097,181
ANG MO KIO TOWN CENTRE,242,0.43353,558
ROCHOR CANAL,231,1.26103,183
JURONG ISLAND AND BUKOM,209,1.66771,125
OXLEY,206,1.51794,136
SUNGEI ROAD,206,0.59240,348
MAXWELL,184,3.28546,56
MACKENZIE,137,2.55337,54
CLIFFORD PIER,132,1.28144,103
PHILLIP,103,1.07230,96
PEOPLE'S PARK,73,1.60628,45
SELEGIE,65,3.45156,19
CHANGI BAY,3,7.23884,0
SENTOSA,1,2.14534,0
SUDONG,0,1.26483,0
SEMAKAU,0,3.91745,0
SOUTHERN GROUP,0,2.17406,0
AIRPORT ROAD,0,1.19997,0
TANJONG IRAU,0,1.63247,0
PULAU SELETAR,0,2.24392,0
